state,year,t_jan,t_feb,t_mar,t_apr,t_may,t_jun,t_jul,t_aug,t_sep,t_oct,t_nov,t_dec
NE,2019,26.4,17.3,31.7,49.2,53.5,68.0,74.5,71.4,68.3,44.2,35.2,30.2
NE,2020,27.2,29.6,41.1,46.1,56.8,73.5,75.3,74.0,62.7,46.4,42.6,31.3
NE,2021,29.3,16.5,42.6,46.9,57.9,72.8,75.0,74.3,67.6,53.2,42.6,33.8
NE,2022,25.6,26.9,38.1,46.6,58.7,71.4,76.5,75.0,67.5,52.2,34.6,22.7
NE,2023,24.8,26.9,33.6,48.2,62.0,69.8,72.8,73.8,67.2,51.2,40.8,34.1
NE,2024,20.5,37.8,40.2,50.1,59.4,71.5,73.4,73.1,68.6,56.2,39.8,33.0
OH,1988,24.9,27.8,38.9,49.0,61.1,69.2,75.7,74.4,63.4,46.4,42.8,30.7
OH,1989,34.8,27.3,40.4,47.1,56.8,68.7,73.4,70.2,63.1,52.9,40.2,18.2
OH,1990,36.2,36.2,43.8,49.8,57.3,68.0,71.6,69.9,64.3,53.4,45.5,35.9
OH,1991,28.2,33.8,42.3,53.6,67.7,72.0,74.6,72.3,64.1,55.2,39.2,34.4
OH,1992,29.7,35.0,38.8,49.5,58.2,65.0,71.6,67.2,62.8,50.3,42.3,33.0
OH,1993,32.2,26.5,35.8,48.8,60.4,68.0,74.7,73.1,62.2,50.7,41.4,30.9
OH,1994,19.6,27.7,37.9,51.9,56.1,71.4,73.0,68.8,63.1,53.2,46.4,36.5
OH,1995,28.8,26.7,41.6,48.2,58.5,70.5,73.9,76.2,62.0,54.9,36.4,26.4
OH,1996,25.3,28.8,33.5,48.3,58.7,70.0,70.5,71.4,63.5,53.4,35.6,35.4
OH,1997,25.9,34.6,41.4,46.2,54.4,68.3,71.9,68.3,62.9,52.9,38.9,33.6
OH,1998,35.6,38.7,41.8,51.2,65.0,69.1,72.0,72.7,68.0,54.2,43.9,36.9
OH,1999,28.4,34.8,35.3,52.8,62.1,71.1,76.8,70.0,64.7,52.6,46.2,33.0
OH,2000,26.2,35.6,44.9,49.7,62.9,69.8,69.9,69.7,63.2,55.9,40.1,21.6
OH,2001,27.5,34.0,36.3,53.9,61.5,68.4,71.9,73.0,62.3,53.8,48.1,37.7
OH,2002,34.1,35.0,39.2,52.6,56.7,71.4,75.7,74.2,68.3,52.0,40.4,30.8
OH,2003,21.5,25.4,41.0,52.0,59.5,66.0,71.6,72.6,62.8,51.2,46.4,32.8
OH,2004,23.5,30.2,42.6,51.0,64.5,67.9,71.4,68.6,66.1,53.6,45.2,31.5
OH,2005,29.4,32.7,35.5,52.2,56.4,72.6,75.1,74.2,67.7,54.2,44.3,27.2
OH,2006,38.8,31.4,38.9,54.3,59.1,67.6,74.2,73.3,61.9,50.5,44.2,38.3
OH,2007,33.0,19.4,43.9,48.4,63.9,70.6,70.6,75.0,67.4,59.9,42.0,33.1
OH,2008,29.1,28.4,36.8,52.9,57.0,70.8,72.3,70.4,67.0,52.0,39.9,31.0
OH,2009,20.8,31.4,42.3,51.1,61.1,69.0,68.5,71.0,64.6,50.0,46.1,30.6
OH,2010,25.0,25.7,42.2,55.3,63.4,72.2,75.1,74.2,65.9,54.7,41.9,24.8
OH,2011,23.5,30.5,39.6,52.1,61.7,70.4,77.3,71.9,64.2,52.7,46.9,36.9
OH,2012,32.1,35.1,52.2,50.2,66.4,70.3,77.5,71.4,63.3,52.4,39.6,37.7
OH,2013,30.5,29.2,35.0,50.6,63.2,69.5,72.5,70.2,64.5,54.3,39.0,32.0
OH,2014,19.8,23.4,33.6,51.4,61.7,70.6,69.4,71.0,64.0,53.3,36.8,35.3
OH,2015,24.4,17.3,35.9,51.5,65.0,69.8,71.6,70.1,68.4,54.4,47.3,43.7
OH,2016,27.2,33.6,46.5,50.2,59.7,71.2,74.8,76.0,69.2,57.7,45.8,31.0
OH,2017,34.6,40.5,40.4,56.6,60.1,69.6,73.0,69.7,65.8,57.4,41.8,29.2
OH,2018,25.0,36.6,36.4,45.1,68.0,71.4,73.8,73.6,69.6,54.3,37.4,35.1
