state_code,division,year,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
2,0,1986,86.0,0.21,1.35,1.7,0.36,0.28,0.41,2.02,2.48,1.19,1.22,1.2
2,0,1987,87.0,1.03,1.51,0.75,0.37,0.63,0.35,1.25,2.05,0.74,1.54,1.62
2,0,1988,88.0,1.16,0.89,0.12,2.04,0.09,0.55,1.61,3.61,0.52,0.94,0.72
2,0,1989,89.0,1.49,0.34,0.77,0.01,0.24,0.03,1.57,1.61,0.24,0.94,0.05
2,0,1990,90.0,0.96,1.07,0.73,0.69,0.4,0.28,2.93,2.3,2.08,0.48,0.8
2,0,1991,91.0,1.12,0.89,3.07,0.01,0.08,0.31,0.9,1.62,1.12,0.59,1.22
2,0,1992,92.0,1.32,1.93,2.91,0.36,1.64,0.21,1.72,3.25,0.53,0.91,0.14
2,0,1993,93.0,5.22,3.17,1.15,0.05,0.41,0.14,0.35,2.88,0.35,1.24,1.52
2,0,1994,94.0,0.23,1.24,1.24,0.61,0.59,0.23,0.94,1.62,1.4,0.92,1.33
2,0,1995,95.0,2.43,1.47,1.52,0.63,0.43,0.13,0.6,1.98,1.3,0.08,0.58
2,0,1996,96.0,0.2,1.08,0.37,0.06,0.09,0.26,1.7,1.39,1.86,0.75,0.79
2,0,1997,97.0,1.89,0.91,0.11,0.76,0.37,0.25,0.82,2.26,2.18,0.7,0.59
2,0,1998,98.0,0.55,3.06,1.9,0.63,0.26,0.07,2.35,1.6,1.44,1.26,0.93
2,0,1999,99.0,0.14,0.36,0.19,1.37,0.17,0.36,3.39,2.55,1.8,0.0,0.0
2,0,2000,0.0,0.28,0.59,1.73,0.11,0.02,0.73,0.53,2.45,0.19,3.54,0.84
2,0,2001,1.0,1.7,1.0,1.04,0.97,0.37,0.24,1.5,2.04,0.39,0.43,0.29
2,0,2002,2.0,0.19,0.1,0.22,0.18,0.01,0.01,1.31,0.87,1.88,0.7,0.64
2,0,2003,3.0,0.32,2.44,1.07,0.29,0.1,0.05,1.25,1.8,1.09,0.41,1.15
2,0,2004,4.0,0.71,1.07,0.75,1.32,0.01,0.09,1.14,1.48,1.58,1.95,1.76
2,0,2005,5.0,2.83,3.35,0.86,0.7,0.22,0.21,1.05,2.43,0.42,0.92,0.06
2,0,2006,6.0,0.13,0.04,1.41,0.24,0.05,0.34,2.49,2.02,1.42,1.18,0.07
2,0,2007,7.0,0.79,0.56,0.83,0.24,0.3,0.12,2.27,1.87,0.98,0.15,0.6
